,driver_id,day_of_week,total_days,total_requests,total_assigned,avg_rating,completed_rides,ACR,status,avg_fare
702,4301381,1,6,56,164,4.384615385,23,0.140243902,COMPLETED,104.173913
703,5412139,5,5,17,64,3.8,9,0.140625,COMPLETED,82.22222222
704,5318395,3,3,19,85,4.125,12,0.141176471,COMPLETED,114.83333329999999
705,5305045,4,5,17,99,4.285714286,14,0.141414141,COMPLETED,129.7857143
706,3112556,5,2,3,14,5.0,2,0.14285714300000002,CANCELED,86.0
707,3196540,2,1,4,14,5.0,2,0.14285714300000002,COMPLETED,103.5
708,3500029,2,2,3,14,5.0,2,0.14285714300000002,COMPLETED,101.5
709,3638440,2,2,9,28,4.0,4,0.14285714300000002,COMPLETED,90.25
710,3941874,4,5,27,70,5.0,10,0.14285714300000002,COMPLETED,81.2
711,4511571,1,2,4,14,4.307563701,2,0.14285714300000002,COMPLETED,125.0
712,4608249,3,2,2,14,5.0,2,0.14285714300000002,COMPLETED,202.5
713,4737163,7,7,53,105,4.416666667,15,0.14285714300000002,COMPLETED,82.86666667
714,5027785,4,2,12,63,4.8,9,0.14285714300000002,COMPLETED,112.2222222
715,5052952,1,1,5,14,4.0,2,0.14285714300000002,COMPLETED,112.0
716,5058777,4,2,6,35,4.666666667,5,0.14285714300000002,COMPLETED,99.0
