driver_id,day_of_week,Hour,Minute,total_assigned_request,avg_rating,completed_rides,ACR,status,ride_duration_hour,total_distance_covered_km
5248864,5,18,2,42,4.461538462,33,0.79,COMPLETED,8.896666667,125.691
5248886,4,8,42,100,4.489795918,87,0.87,COMPLETED,24.095,420.431
5248892,1,13,12,18,4.333333333,7,0.39,COMPLETED,1.918611111,32.754
5249447,5,12,32,29,4.363636364,25,0.86,COMPLETED,8.386111111,153.55
5249464,1,8,3,75,4.357142857,48,0.64,COMPLETED,10.92305556,156.902
5249531,5,17,20,83,4.185185185,48,0.58,COMPLETED,3.344444444,144.709
5249560,7,17,27,66,4.117647059,43,0.65,COMPLETED,12.99777778,207.195
5249585,7,16,19,26,4.375,19,0.73,COMPLETED,4.642777778,84.54
5249631,2,18,58,27,4,16,0.59,COMPLETED,6.519444444,118.494
5249965,4,15,40,7,4.333333333,5,0.71,COMPLETED,1.781944444,13.86
5249989,7,17,40,46,4.375,34,0.74,COMPLETED,9.606388889,175.308
5250030,5,17,37,56,4,23,0.41,COMPLETED,5.795833333,96.672
5250079,1,14,55,42,4.333333333,33,0.79,COMPLETED,7.170555556,127.097
5250124,2,8,3,6,,3,0.5,COMPLETED,1.275555556,17.601
5250178,3,22,30,48,4.352941176,37,0.77,COMPLETED,12.26083333,225.907
5250332,2,17,26,7,4.5,5,0.71,COMPLETED,1.453055556,23.039
5250341,3,19,2,124,4.173913043,99,0.8,COMPLETED,25.15638889,427.157
5250387,1,12,26,12,4.6,11,0.92,COMPLETED,3.413888889,52.461
5250420,3,17,51,22,3.8,16,0.73,COMPLETED,4.4675,61.827
5250472,2,13,20,83,4.484848485,55,0.66,COMPLETED,15.72833333,224.932
5250661,1,9,33,19,3.666666667,6,0.32,COMPLETED,1.628888889,28.267
5251049,2,18,59,21,4.75,20,0.95,COMPLETED,5.278055556,88.773
5251178,2,10,10,60,4.607142857,47,0.78,COMPLETED,13.63027778,222.995
5251522,2,19,14,3,,0,0,CANCELED,,
5251626,1,10,58,18,4.25,13,0.72,COMPLETED,3.793333333,65.833
5252376,2,13,30,54,4.185185185,47,0.87,COMPLETED,16.51638889,287.197
5252394,2,8,59,18,3.833333333,16,0.89,COMPLETED,4.1325,78.847
5252585,2,19,1,46,4,38,0.83,COMPLETED,7.476666667,139.241
5252919,7,8,13,20,4.222222222,18,0.9,COMPLETED,5.75,107.948
5254374,4,20,23,40,3.777777778,20,0.5,COMPLETED,0.139722222,39.097
5254427,7,18,30,6,4.5,3,0.5,COMPLETED,1.054444444,12.323
5254477,5,14,48,59,4.631578947,42,0.71,COMPLETED,11.79611111,214.75
5254568,2,15,21,9,3.666666667,8,0.89,COMPLETED,3.45,56.387
