,driver_id,day_of_week,Hour,Minute,passenger_id,total_assigned_request,avg_rating,completed_rides,total_canceled_ride,ACR,status,ride_duration_hour,total_distance_covered_km,undiscounted_fare
58,2983535,3,15,2,4919346,8,5,4,4,0.5,COMPLETED,0.635555556,10.596,103
59,2998385,3,8,10,3781104,4,5,2,2,0.5,COMPLETED,0.494444444,11.072,105
60,3001706,3,15,46,3545780,1,,0,1,0,CANCELED,,,
61,3019419,1,9,56,5092069,19,4,16,3,0.84,COMPLETED,4.925277778,87.283,137
62,3020326,4,17,22,5364279,5,,0,5,0,CANCELED,,,
63,3023513,1,10,58,5219120,41,3.6,8,33,0.2,COMPLETED,2.035,38.92,136
64,3045120,2,17,44,4865011,4,5,1,3,0.25,COMPLETED,0.289166667,5.651,115
65,3058127,1,22,17,4823360,7,3,5,2,0.71,COMPLETED,0.910833333,15.09,51
66,3060896,2,8,37,5151403,96,3.947368421,50,46,0.52,COMPLETED,14.28388889,241.543,120
67,3067864,2,13,30,4992889,6,4.666666667,4,2,0.67,COMPLETED,1.378055556,18.236,59
68,3070639,3,8,3,3794625,2,,0,2,0,CANCELED,,,
69,3072522,3,12,34,5358213,11,5,3,8,0.27,COMPLETED,0.855555556,12.492,155
70,3075427,5,14,52,3579650,1,,0,1,0,CANCELED,,,
71,3075437,2,10,7,5191826,41,4.166666667,19,22,0.46,COMPLETED,3.835277778,79.949,169
72,3086743,2,16,54,3415566,4,5,3,1,0.75,COMPLETED,0.506944444,9.186,66
73,3089358,2,18,26,4687943,15,4.666666667,6,9,0.4,COMPLETED,1.467777778,31.934,52
74,3090872,3,13,7,3510245,117,4.384615385,50,67,0.43,COMPLETED,13.84833333,269.915,149
75,3096858,2,12,28,4347059,3,,1,2,0.33,COMPLETED,0.001111111,1.343,50
76,3109035,5,18,40,5158418,10,5,2,8,0.2,COMPLETED,0.327777778,4.876,103
77,3109117,2,14,0,4464862,37,4.111111111,25,12,0.68,COMPLETED,6.299722222,137.793,128
78,3110182,2,21,30,4716039,45,4,25,20,0.56,COMPLETED,7.437777778,147.32,161
79,3112556,5,18,1,3627200,3,5,2,1,0.67,CANCELED,0.551944444,6.943,
80,3119416,2,14,37,5382360,36,4.235294118,26,10,0.72,COMPLETED,4.992222222,95.37,53
