,ride_id,driver_id,total_assigned
233,798KA8,3601475,1
234,78S4TC,3601722,110
235,78D2I0,3609933,162
236,78FNNN,3612212,24
237,78EQDL,3612345,102
238,7971P8,3612746,4
239,78M2G5,3613245,138
240,78SDOH,3620117,34
241,78CP7E,3620819,67
242,78B8B2,3623101,46
243,7997IS,3626282,34
244,78R6P6,3626473,6
245,78N2GL,3626667,16
246,78CA0C,3626950,201
247,791A2N,3633112,29
248,798PHG,3633295,21
249,790O11,3633962,1
250,799P03,3634169,6
251,7952PI,3634447,104
252,78B230,3635024,28
253,78R9EP,3635071,44
254,78CQFO,3636333,2
255,78LPLE,3636342,80
256,78F8HM,3636427,3
257,799T7H,3637101,77
258,78H5RI,3637339,99
259,78AE8A,3638440,28
260,78N1OA,3638664,175
261,78CSMQ,3644399,49
262,78ON83,3644456,44
263,78CT9O,3645038,135
264,78L81T,3646787,76
265,78D7FM,3646812,234
266,78DQ1K,3648810,52
267,78G7SB,3664897,3
268,7906PM,3666461,2
269,78TK6A,3668173,6
270,78DFL2,3668460,53
271,794095,3670054,41
272,78MP15,3670561,65
273,796B7D,3670582,9
274,78GFM6,3678744,182
275,78D69P,3681569,158
276,7954TG,3681964,130
277,78LBD2,3683496,17
278,78K1GE,3688501,16
279,78A5R1,3688728,8
280,799G41,3688957,36
281,78J8KC,3691025,14
282,790BN6,3694253,24
283,78PM8O,3694390,36
284,78GECM,3695674,228
285,78DTCO,3696613,4
286,78BAR3,3697004,36
287,79A879,3698085,57
288,78E1Q9,3698459,131
289,78C983,3700536,41
290,78CL0P,3707646,222
291,78DPSF,3708560,10
292,78T3DC,3709535,3
293,791QS7,3709813,109
294,78DPHL,3717125,62
295,78M7TD,3717245,128
296,78KPGN,3718226,67
297,78SQJT,3718344,92
298,79100O,3733395,80
299,78G03E,3735097,1
300,78TT11,3735534,83
301,78MOOM,3736211,64
302,798FDD,3736339,1
303,78HM2B,3738000,132
304,796MB0,3744351,6
305,78BELJ,3744385,33
306,790JM3,3751540,5
307,793K9K,3751543,159
308,78AD7D,3751566,31
309,78KI4H,3751577,188
310,78HD6T,3754089,1
311,78KF2J,3754179,105
312,78B7MS,3754231,50
313,798LCQ,3754931,14
314,798R2D,3757071,3
315,78KSRI,3757725,3
316,78B57I,3758181,48
317,78BL1O,3762058,197
318,78OQQ0,3762069,217
319,78FSSB,3762149,180
320,78JF6H,3765017,19
321,7934QM,3771362,55
322,78PHK0,3772692,97
323,79846E,3774336,2
324,78T166,3782398,8
325,78AS6L,3785380,18
326,78P28I,3798866,29
327,798SQC,3799146,3
328,78OLEA,3799690,3
329,7922J4,3801157,44
330,78BAR3,3801331,25
331,795CIG,3801831,5
332,78MA78,3804886,163
333,78J8F8,3805767,2
334,796H8I,3809880,2
335,78LCR7,3809961,45
336,78A76F,3810107,64
337,796SNE,3810589,32
338,78BTQO,3812868,1
339,78BRP2,3812874,10
340,78SPPQ,3813528,201
341,78R7OI,3813743,33
342,78PD1K,3819610,5
343,78DSR8,3820180,1
344,78H1DR,3820335,117
345,78B79A,3820817,5
346,78BC46,3820852,93
347,79AIN3,3820991,96
348,78GENQ,3821690,232
349,78RK1D,3823863,42
350,798O7Q,3826983,1
351,78MO19,3827325,63
352,78JOE7,3827930,4
353,78CH5J,3832175,112
354,78BKPM,3832925,57
355,78R5HR,3834479,15
356,792J1J,3837162,189
357,78MAJL,3838783,32
358,78H1DR,3838939,20
359,78KQ2E,3840723,16
360,78CORQ,3842575,74
361,78D3TR,3849192,174
