,Unnamed: 0,driver_id,day_of_week,total_days,Hour,Minute,passenger_id,total_requests,total_assigned,avg_rating,completed_rides,ACR,status,ride_duration_hour,total_distance_covered_km,avg_fare,abandoned_trips,% completed_rides,canceled_rides,driver_id,total_monthly_trips
37,709,2940838,1,6,13,0,5210702,50,125,4.588235294,37,0.29600000000000004,1,9.130555556000001,147.97299999999996,92.27027027,75,74.0,13,2940838,89
38,1153,2944084,3,5,9,2,3711014,11,22,4.714285714,10,0.454545455,1,4.059444444,48.276,105.7,11,90.9090909090909,1,2944084,27
39,1556,2949302,4,4,16,55,5418732,41,76,4.4,29,0.3815789470000001,1,9.696944444,157.451,119.0344828,35,70.73170731707317,12,2949302,31
40,708,2950226,2,6,12,10,4527127,68,190,4.307692308,53,0.27894736800000003,1,15.78194444,240.191,100.0188679,122,77.94117647058823,15,2950226,229
41,1965,2950334,4,3,14,15,5277631,13,82,4.5,13,0.158536585,1,2.323055556,38.67,77.69230769,69,100.0,0,2950334,62
42,707,2950628,5,6,9,41,4513270,8,57,3.0,7,0.122807018,1,1.721388889,22.699,79.71428571,49,87.5,1,2950628,20
43,2767,2955278,7,1,17,39,3614667,1,2,4.0,1,0.5,1,0.130555556,1.936,63.0,1,100.0,0,2955278,48
44,1964,2955357,1,3,10,33,4497322,15,38,4.333333333,9,0.236842105,1,2.873333333,50.403,117.4444444,23,60.0,6,2955357,41
45,2378,2955780,7,2,17,30,4745942,6,8,4.5,4,0.5,1,0.994722222,20.543000000000006,116.5,2,66.66666666666666,2,2955780,35
46,1152,2956093,5,5,22,26,4694747,18,33,3.8,8,0.242424242,1,1.988055556,46.101000000000006,127.0,15,44.444444444444436,10,2956093,48
47,706,2957882,7,6,12,47,4575731,81,143,4.424242424,63,0.440559441,1,13.55972222,271.608,98.53968254,62,77.7777777777778,18,2957882,135
48,1555,2962047,2,4,11,23,3186922,26,56,4.2,18,0.321428571,1,5.405,88.584,106.4444444,30,69.23076923076923,8,2962047,56
49,705,2969346,4,6,9,47,4566054,39,76,4.166666667,13,0.17105263199999998,1,2.229444444,44.347,83.23076923,37,33.33333333333333,26,2969346,44
50,1151,2974881,4,5,9,31,5345274,63,167,3.703703704,46,0.275449102,1,14.7775,239.825,114.47826090000002,104,73.01587301587301,17,2974881,74
51,295,2974966,3,7,21,13,4202837,55,318,4.571428571,16,0.050314465,1,4.2711111110000015,64.296,100.4375,263,29.09090909090909,39,2974966,80
52,1150,2983535,3,5,15,2,4919346,8,42,5.0,4,0.095238095,1,0.635555556,10.595999999999998,77.0,34,50.0,4,2983535,10
53,1963,2991424,2,3,12,57,3866788,3,11,4.5,3,0.272727273,1,1.242222222,19.841,129.3333333,8,100.0,0,2991424,6
54,2377,2998385,3,2,8,10,3781104,4,25,5.0,2,0.08,1,0.494444444,11.072,113.0,21,50.0,2,2998385,2
55,1554,3019419,1,4,9,56,5092069,19,77,4.0,16,0.207792208,1,4.925277778,87.28299999999999,115.375,58,84.21052631578947,3,3019419,31
56,294,3023513,1,7,10,58,5219120,41,94,3.6,8,0.08510638300000001,1,2.035,38.92,107.125,53,19.51219512195122,33,3023513,34
